fips,population,year,county,sex,age,ci,aci,rate,ageAdjust,count,
"27035","110771","2015-2017","Crow Wing","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","36.1","33.4","399.71",,
"27035","113043","2016-2018","Crow Wing","All","All Ages 35+ Combined                                                 ","(30.1 - 36.9)","(26.4 - 33.4)","33.5","29.9","378.5",,
"27035","115160","2017-2019","Crow Wing","All","All Ages 35+ Combined                                                 ","(29.8 - 36.5)","(23.5 - 29.1)","33.2","26.3","381.99",,
"27035","117360","2018-2020","Crow Wing","All","All Ages 35+ Combined                                                 ","(32.7 - 39.6)","(24.8 - 30.4)","36.1","27.6","424.06",,
"27035","39313","2020","Crow Wing","All","All Ages 35+ Combined                                                 ","(27.9 - 39.4)","(21.0 - 30.2)","33.6","25.6","132.19",,
"27037","616165","2008-2010","Dakota","All","All Ages 35+ Combined                                                 ","(24.4 - 27.0)","(28.5 - 31.6)","25.7","30.1","1584",,
"27037","644926","2011-2013","Dakota","All","All Ages 35+ Combined                                                 ","(22.7 - 25.1)","(23.7 - 26.3)","23.9","25","1539",,
"27037","662642","2013-2015","Dakota","All","All Ages 35+ Combined                                                 ","(26.7 - 29.3)","(26.6 - 29.2)","28","27.9","1857",,
"27037","660500","2015-2017","Dakota","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","23.9","27.5","1578.16",,
"27037","675621","2016-2018","Dakota","All","All Ages 35+ Combined                                                 ","(23.0 - 25.3)","(25.2 - 28.3)","24.1","26.8","1630.59",,
"27037","684774","2017-2019","Dakota","All","All Ages 35+ Combined                                                 ","(23.1 - 25.5)","(22.6 - 25.1)","24.3","23.9","1664.61",,
"27037","694134","2018-2020","Dakota","All","All Ages 35+ Combined                                                 ","(25.5 - 27.9)","(24.0 - 26.3)","26.7","25.1","1851.87",,
"27037","232423","2020","Dakota","All","All Ages 35+ Combined                                                 ","(21.6 - 25.5)","(20.3 - 24.1)","23.5","22.2","547.05",,
"27039","30823","2008-2010","Dodge","All","All Ages 35+ Combined                                                 ","(19.7 - 31.2)","(19.1 - 30.4)","25","24.2","77",,
"27039","32051","2011-2013","Dodge","All","All Ages 35+ Combined                                                 ","(17.6 - 28.3)","(16.9 - 27.4)","22.5","21.7","72",,
"27039","32531","2013-2015","Dodge","All","All Ages 35+ Combined                                                 ","(21.1 - 32.6)","(20.0 - 31.2)","26.4","25.2","86",,
"27039","32316","2015-2017","Dodge","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","32.8","35.1","106.1",,
"27039","32912","2016-2018","Dodge","All","All Ages 35+ Combined                                                 ","(27.4 - 40.0)","(27.9 - 43.3)","33.7","35.6","110.96",,
"27039","33454","2017-2019","Dodge","All","All Ages 35+ Combined                                                 ","(27.2 - 39.5)","(26.2 - 38.8)","33.3","32.5","111.53",,
"27039","34002","2018-2020","Dodge","All","All Ages 35+ Combined                                                 ","(27.7 - 40.1)","(26.0 - 37.9)","33.9","32","115.15",,
"27039","11408","2020","Dodge","All","All Ages 35+ Combined                                                 ","(24.2 - 46.6)","(23.1 - 45.1)","34.1","32.8","38.87",,
"27041","62242","2008-2010","Douglas","All","All Ages 35+ Combined                                                 ","(32.5 - 42.1)","(25.2 - 33.0)","37.3","29.1","232",,
"27041","64538","2011-2013","Douglas","All","All Ages 35+ Combined                                                 ","(28.9 - 37.8)","(21.7 - 28.7)","33.3","25.2","215",,
"27041","65824","2013-2015","Douglas","All","All Ages 35+ Combined                                                 ","(30.7 - 39.8)","(22.1 - 28.9)","35.2","25.5","232",,
"27041","64433","2015-2017","Douglas","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","27.9","25.3","179.52",,
"27041","65352","2016-2018","Douglas","All","All Ages 35+ Combined                                                 ","(24.6 - 32.9)","(21.1 - 29.5)","28.8","25.3","187.92",,
"27041","66774","2017-2019","Douglas","All","All Ages 35+ Combined                                                 ","(25.4 - 33.6)","(19.5 - 26.3)","29.5","22.9","196.8",,
"27041","68068","2018-2020","Douglas","All","All Ages 35+ Combined                                                 ","(24.8 - 32.8)","(18.5 - 25.1)","28.8","21.8","196.06",,
"27041","22723","2020","Douglas","All","All Ages 35+ Combined                                                 ","(22.0 - 36.4)","(16.1 - 27.5)","28.5","21.3","64.78",,
"27043","26884","2008-2010","Faribault","All","All Ages 35+ Combined                                                 ","(44.5 - 61.9)","(32.2 - 45.7)","53.2","38.9","143",,
"27043","26343","2011-2013","Faribault","All","All Ages 35+ Combined                                                 ","(40.9 - 57.8)","(30.3 - 44.0)","49.3","37.1","130",,
"27043","25995","2013-2015","Faribault","All","All Ages 35+ Combined                                                 ","(37.6 - 54.0)","(26.8 - 40.0)","45.8","33.4","119",,
"27043","24839","2015-2017","Faribault","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","34.9","31.1","86.75",,
"27043","24354","2016-2018","Faribault","All","All Ages 35+ Combined                                                 ","(32.8 - 49.2)","(29.8 - 47.3)","40.4","37.8","98.29",,
"27043","24826","2017-2019","Faribault","All","All Ages 35+ Combined                                                 ","(34.1 - 50.3)","(27.0 - 41.1)","42.2","34","104.73",,
"27043","25264","2018-2020","Faribault","All","All Ages 35+ Combined                                                 ","(32.2 - 47.8)","(23.9 - 36.7)","40","30.3","101.01",,
"27043","8399","2020","Faribault","All","All Ages 35+ Combined                                                 ","(19.2 - 43.9)","(15.1 - 38.0)","29.7","24.6","24.95",,
"27045","36315","2008-2010","Fillmore","All","All Ages 35+ Combined                                                 ","(23.4 - 34.4)","(16.3 - 24.4)","28.9","20.3","105",,
"27045","36742","2011-2013","Fillmore","All","All Ages 35+ Combined                                                 ","(22.9 - 33.7)","(17.0 - 25.6)","28.3","21.3","104",,
"27045","36681","2013-2015","Fillmore","All","All Ages 35+ Combined                                                 ","(20.7 - 31.4)","(15.3 - 24.0)","25.6","19.3","94",,
"27045","35557","2015-2017","Fillmore","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","25.2","22.2","89.45",,
"27045","35640","2016-2018","Fillmore","All","All Ages 35+ Combined                                                 ","(21.3 - 32.3)","(20.1 - 32.6)","26.4","25.8","94.13",,
