Population,Poverty,Child Poverty,state,county,year
144137.0,19332.0,10097.0,27,145,2014
5650.0,546.0,345.0,27,081,2014
24577.0,3433.0,2196.0,27,083,2014
25299.0,3235.0,1831.0,27,095,2014
14989.0,1791.0,1071.0,27,129,2014
34398.0,4703.0,2265.0,27,017,2014
5149.0,446.0,269.0,27,031,2014
12739.0,1937.0,981.0,27,071,2015
32495.0,3687.0,2085.0,27,097,2015
35891.0,3721.0,2321.0,27,147,2015
15586.0,1937.0,977.0,27,001,2015
8386.0,771.0,436.0,27,101,2015
41796.0,4877.0,2757.0,27,067,2015
9353.0,1067.0,636.0,27,133,2015
3337.0,341.0,202.0,27,155,2015
1175446.0,146382.0,77750.0,27,053,2015
11923.0,1454.0,883.0,27,023,2015
37831.0,2802.0,1398.0,27,059,2015
38738.0,5410.0,2743.0,27,099,2015
146331.0,13237.0,7402.0,27,109,2015
5887.0,533.0,324.0,27,051,2015
5416.0,1350.0,712.0,27,087,2015
9861.0,1175.0,587.0,27,173,2015
61509.0,11745.0,5918.0,27,013,2015
3892.0,363.0,201.0,27,077,2015
192546.0,30869.0,16621.0,27,137,2015
405771.0,31270.0,17535.0,27,037,2015
24552.0,3456.0,2105.0,27,083,2015
14817.0,1646.0,970.0,27,129,2015
5150.0,588.0,346.0,27,031,2015
8595.0,1451.0,747.0,27,029,2015
22691.0,2282.0,1331.0,27,093,2015
13833.0,1286.0,719.0,27,113,2015
56526.0,6469.0,3749.0,27,131,2015
6333.0,627.0,408.0,27,167,2015
4026.0,431.0,225.0,27,125,2015
56914.0,7202.0,3869.0,27,027,2015
13867.0,1878.0,1064.0,27,043,2015
20452.0,2280.0,1218.0,27,045,2015
10531.0,1364.0,677.0,27,075,2015
30383.0,3987.0,2000.0,27,119,2015
15365.0,1637.0,888.0,27,135,2015
14822.0,1584.0,885.0,27,143,2015
10895.0,1182.0,831.0,27,165,2015
32603.0,4160.0,2406.0,27,005,2015
4997.0,719.0,459.0,27,011,2015
24160.0,1887.0,956.0,27,015,2015
28074.0,4656.0,2461.0,27,021,2015
