,year,countyServed,max radium pCi/L
814,2010,Pine,11.8
815,2010,Pipestone,1.2
816,2010,Polk,2.1
817,2010,Pope,1.9
818,2010,Ramsey,5.7
819,2010,Red Lake,0.5
820,2010,Redwood,4.7
821,2010,Renville,4.6
822,2010,Rice,6.8
823,2010,Rock,1.6
824,2010,Roseau,2.3
825,2010,Scott,5.0
826,2010,Sherburne,5.0
827,2010,Sibley,2.7
828,2010,St. Louis,4.5
829,2010,Stearns,3.2
830,2010,Steele,4.4
831,2010,Stevens,0.5
832,2010,Swift,2.2
833,2010,Todd,2.1
834,2010,Traverse,1.5
835,2010,Wabasha,4.2
836,2010,Wadena,2.2
837,2010,Waseca,3.3
838,2010,Washington,4.4
839,2010,Watonwan,2.8
840,2010,Wilkin,1.9
841,2010,Winona,8.6
842,2010,Wright,6.3
843,2010,Yellow Medicine,1.2
844,2011,Aitkin,1.1
845,2011,Anoka,13.2
846,2011,Becker,2.1
847,2011,Beltrami,1.7
848,2011,Benton,0.5
849,2011,Big Stone,1.8
850,2011,Blue Earth,7.6
851,2011,Brown,6.7
852,2011,Carlton,1.4
853,2011,Carver,7.3
854,2011,Cass,0.5
855,2011,Chippewa,1.7
856,2011,Chisago,7.1
857,2011,Clay,1.6
858,2011,Clearwater,1.5
859,2011,Cook,0.5
860,2011,Cottonwood,4.6
861,2011,Crow Wing,1.4
862,2011,Dakota,4.8
863,2011,Dodge,3.3
864,2011,Douglas,2.9
865,2011,Faribault,4.0
866,2011,Fillmore,8.6
867,2011,Freeborn,4.1
868,2011,Goodhue,4.1
869,2011,Grant,1.9
870,2011,Hennepin,8.7
871,2011,Houston,5.0
872,2011,Hubbard,1.3
873,2011,Isanti,1.9
874,2011,Itasca,2.9
875,2011,Jackson,1.1
876,2011,Kanabec,1.3
877,2011,Kandiyohi,4.1
878,2011,Kittson,1.7
879,2011,Koochiching,2.0
880,2011,Lac Qui Parle,1.2
881,2011,Lake,0.5
882,2011,Lake of the Woods,1.1
883,2011,Le Sueur,4.6
884,2011,Lincoln,1.2
885,2011,Lyon,1.2
886,2011,Mahnomen,1.7
887,2011,Marshall,3.2
888,2011,Martin,1.9
889,2011,McLeod,2.9
890,2011,Meeker,1.8
891,2011,Mille Lacs,0.5
892,2011,Morrison,2.0
893,2011,Mower,3.3
894,2011,Murray,1.1
895,2011,Nicollet,4.0
896,2011,Nobles,1.2
897,2011,Norman,2.2
898,2011,Olmsted,3.6
899,2011,Otter Tail,3.3
900,2011,Pennington,1.6
901,2011,Pine,11.4
902,2011,Pipestone,1.2
903,2011,Polk,2.1
904,2011,Pope,1.9
905,2011,Ramsey,4.1
906,2011,Red Lake,1.3
907,2011,Redwood,4.7
908,2011,Renville,4.6
909,2011,Rice,5.3
910,2011,Rock,1.6
911,2011,Roseau,2.3
912,2011,Scott,5.9
913,2011,Sherburne,4.8
914,2011,Sibley,7.4
915,2011,St. Louis,4.5
916,2011,Stearns,1.9
917,2011,Steele,6.0
918,2011,Stevens,0.5
919,2011,Swift,2.2
920,2011,Todd,2.1
921,2011,Traverse,1.5
922,2011,Wabasha,4.2
923,2011,Wadena,2.2
924,2011,Waseca,4.0
925,2011,Washington,4.4
926,2011,Watonwan,2.8
927,2011,Wilkin,1.9
928,2011,Winona,8.6
929,2011,Wright,3.9
930,2011,Yellow Medicine,1.2
931,2013,Aitkin,1.1
932,2013,Anoka,13.5
933,2013,Becker,2.1
934,2013,Beltrami,1.7
935,2013,Benton,0.5
936,2013,Big Stone,1.8
937,2013,Blue Earth,5.8
938,2013,Brown,3.8
939,2013,Carlton,1.7
940,2013,Carver,7.3
941,2013,Cass,0.5
942,2013,Chippewa,1.7
943,2013,Chisago,6.4
944,2013,Clay,1.6
945,2013,Clearwater,1.5
946,2013,Cook,0.5
947,2013,Cottonwood,4.6
948,2013,Crow Wing,2.3
949,2013,Dakota,8.5
950,2013,Dodge,2.7
951,2013,Douglas,3.2
952,2013,Faribault,4.0
953,2013,Fillmore,5.0
954,2013,Freeborn,4.8
955,2013,Goodhue,4.1
956,2013,Grant,1.9
957,2013,Hennepin,6.0
958,2013,Houston,8.4
959,2013,Hubbard,1.3
960,2013,Isanti,2.9
961,2013,Itasca,3.0
962,2013,Jackson,1.1
963,2013,Kanabec,1.3
964,2013,Kandiyohi,4.1
965,2013,Kittson,1.7
966,2013,Koochiching,2.0
967,2013,Lac Qui Parle,0.5
968,2013,Lake,0.5
969,2013,Lake of the Woods,1.1
970,2013,Le Sueur,4.6
971,2013,Lincoln,0.5
