,year,countyServed,max arsenic (ug/L)
378,2003,Le Sueur,4.5
379,2003,Lincoln,1.8
380,2003,Lyon,1.92
381,2003,Mahnomen,9.5
382,2003,Marshall,5.04
383,2003,Martin,6.7
384,2003,McLeod,43
385,2003,Meeker,18.7
386,2003,Mille Lacs,2.5
387,2003,Morrison,4.49
388,2003,Mower,13
389,2003,Murray,7.17
390,2003,Nicollet,10
391,2003,Nobles,2.26
392,2003,Norman,12
393,2003,Olmsted,1.8
394,2003,Otter Tail,36
395,2003,Pennington,2.51
396,2003,Pine,8.83
397,2003,Pipestone,5.1
398,2003,Polk,36
399,2003,Pope,11.9
400,2003,Ramsey,5.97
401,2003,Red Lake,7.74
402,2003,Redwood,4.7
403,2003,Renville,23
404,2003,Rice,6.48
405,2003,Rock,3.27
406,2003,Roseau,9.7
407,2003,Scott,8.11
408,2003,Sherburne,1.96
409,2003,Sibley,17
410,2003,St. Louis,4
411,2003,Stearns,28
412,2003,Steele,1.24
413,2003,Stevens,2.81
414,2003,Swift,8.9
415,2003,Todd,6
416,2003,Traverse,38
417,2003,Wabasha,0.5
418,2003,Wadena,17
419,2003,Waseca,6.43
420,2003,Washington,7.7
421,2003,Watonwan,13
422,2003,Wilkin,2.3
423,2003,Winona,1.79
424,2003,Wright,24.1
425,2003,Yellow Medicine,29
426,2004,Aitkin,5.82
427,2004,Anoka,20
428,2004,Becker,29.2
429,2004,Beltrami,3.97
430,2004,Benton,2.05
431,2004,Big Stone,12
432,2004,Blue Earth,7.49
433,2004,Brown,4.83
434,2004,Carlton,3.19
435,2004,Carver,8.31
436,2004,Cass,44
437,2004,Chippewa,5.2
438,2004,Chisago,5.5
439,2004,Clay,28
440,2004,Clearwater,2.6
441,2004,Cook,4.22
442,2004,Cottonwood,2.9
443,2004,Crow Wing,8.17
444,2004,Dakota,2.58
445,2004,Dodge,2.93
446,2004,Douglas,9.22
447,2004,Faribault,15
448,2004,Fillmore,1.13
449,2004,Freeborn,9.28
450,2004,Goodhue,0.5
451,2004,Grant,35
452,2004,Hennepin,6.46
453,2004,Houston,0.5
454,2004,Hubbard,0.5
455,2004,Isanti,4.17
456,2004,Itasca,3.4
457,2004,Jackson,2.29
458,2004,Kanabec,6.1
459,2004,Kandiyohi,11.7
460,2004,Kittson,1.06
461,2004,Koochiching,14
462,2004,Lac Qui Parle,8.9
463,2004,Lake,0.5
464,2004,Lake of the Woods,2.92
465,2004,Le Sueur,4.5
466,2004,Lincoln,1.5
467,2004,Lyon,1.92
468,2004,Mahnomen,9.43
469,2004,Marshall,6.86
470,2004,Martin,7.86
471,2004,McLeod,42.9
472,2004,Meeker,18.7
473,2004,Mille Lacs,2.5
474,2004,Morrison,4.49
475,2004,Mower,13
476,2004,Murray,7.17
477,2004,Nicollet,10
478,2004,Nobles,2.26
479,2004,Norman,12
480,2004,Olmsted,2.01
481,2004,Otter Tail,53
482,2004,Pennington,2.51
483,2004,Pine,8.83
484,2004,Pipestone,5.1
485,2004,Polk,42.9
486,2004,Pope,11.9
487,2004,Ramsey,5.97
488,2004,Red Lake,7.74
489,2004,Redwood,4.7
490,2004,Renville,13
491,2004,Rice,6.48
492,2004,Rock,3.27
493,2004,Roseau,10.1
494,2004,Scott,7.61
495,2004,Sherburne,3.13
496,2004,Sibley,17.6
497,2004,St. Louis,5.18
498,2004,Stearns,21.2
499,2004,Steele,1.24
500,2004,Stevens,2.81
501,2004,Swift,8.9
502,2004,Todd,6
503,2004,Traverse,38
504,2004,Wabasha,0.5
505,2004,Wadena,17
506,2004,Waseca,4.5
507,2004,Washington,7.7
508,2004,Watonwan,13
509,2004,Wilkin,2.3
510,2004,Winona,1.79
511,2004,Wright,24.1
512,2004,Yellow Medicine,29
513,2005,Aitkin,5.82
514,2005,Anoka,15
515,2005,Becker,19
516,2005,Beltrami,4.15
517,2005,Benton,2.61
518,2005,Big Stone,4.52
519,2005,Blue Earth,7.49
520,2005,Brown,4.83
521,2005,Carlton,3.19
522,2005,Carver,8.9
523,2005,Cass,4.2
524,2005,Chippewa,5.2
525,2005,Chisago,5.5
526,2005,Clay,32
527,2005,Clearwater,2.6
528,2005,Cook,3.69
529,2005,Cottonwood,2.9
530,2005,Crow Wing,8.17
531,2005,Dakota,2.58
532,2005,Dodge,2.93
533,2005,Douglas,9.22
534,2005,Faribault,14
535,2005,Fillmore,1.26
536,2005,Freeborn,9.28
537,2005,Goodhue,0.5
538,2005,Grant,51
539,2005,Hennepin,13
540,2005,Houston,0.5
541,2005,Hubbard,0.5
542,2005,Isanti,4.67
543,2005,Itasca,3.55
544,2005,Jackson,3.82
545,2005,Kanabec,6.1
546,2005,Kandiyohi,11.7
547,2005,Kittson,1.06
548,2005,Koochiching,11
549,2005,Lac Qui Parle,16
550,2005,Lake,0.5
551,2005,Lake of the Woods,2.92
552,2005,Le Sueur,4.5
553,2005,Lincoln,1.5
554,2005,Lyon,1.92
555,2005,Mahnomen,9.43
556,2005,Marshall,6.86
557,2005,Martin,7.86
558,2005,McLeod,8.3
559,2005,Meeker,21
560,2005,Mille Lacs,2.5
561,2005,Morrison,4.49
562,2005,Mower,13
563,2005,Murray,6.59
564,2005,Nicollet,10
565,2005,Nobles,2.26
566,2005,Norman,16
567,2005,Olmsted,2.01
568,2005,Otter Tail,48
569,2005,Pennington,2.51
570,2005,Pine,3.33
571,2005,Pipestone,5.1
572,2005,Polk,13
573,2005,Pope,11.9
574,2005,Ramsey,5.97
575,2005,Red Lake,4.44
576,2005,Redwood,4.7
577,2005,Renville,23
578,2005,Rice,6.48
579,2005,Rock,8.61
580,2005,Roseau,8.9
581,2005,Scott,7.61
582,2005,Sherburne,3.13
583,2005,Sibley,17
584,2005,St. Louis,5.18
585,2005,Stearns,14.3
586,2005,Steele,1.24
587,2005,Stevens,2.81
588,2005,Swift,9
589,2005,Todd,6
590,2005,Traverse,37
591,2005,Wabasha,0.5
